Athlete,Year,Event,Event Type,Final/Heat,Country,Age,gender,Rank,Lane,100m,100m CT,RT
Category_8,31,Category_1,World Cup,H,Category_2,20.185,m,20.882,9.327,29.199,Category_6,0.611
Category_5,27,Category_4,World Championships,F,Category_4,20.194,m,17.212,5.681,25.272,Category_4,0.653
Category_2,32,Category_3,Junior,F,Category_2,20.201,m,74.968,7.354,25.174,Category_2,0.62
Category_6,21,Category_5,World Championships,SF,Category_4,17.045,m,37.782,1.693,27.582,Category_7,0.721
Category_5,19,Category_7,Youth Olympic,SF,Category_6,29.199,m,69.133,6.259,28.971,Category_2,0.632
Category_2,26,Category_8,Olympic,SF,Category_6,21.38,m,64.833,0.359,24.155,Category_7,0.689
Category_3,27,Category_2,Olympic,H,Category_2,18.04,m,8.298,2.38,25.972,Category_7,0.672
Category_9,28,Category_7,25m,F,Category_4,22.086,m,32.566,10.952,24.228,Category_1,0.673
Category_7,31,Category_1,Series,F,Category_4,16.899,m,80.803,3.912,27.754,Category_3,0.681
Category_7,24,Category_7,World Championships,F,Category_1,20.532,m,48.667,4.727,31.191,Category_3,0.692
Category_6,32,Category_8,Olympic,SF,Category_2,22.079,m,46.935,6.504,26.11,Category_6,0.723
Category_8,32,Category_2,World Championships,F,Category_3,22.701,m,58.706,4.679,28.553,Category_3,0.706
Category_4,25,Category_9,Series,F,Category_5,15.219,m,46.295,2.257,27.107,Category_9,0.733
Category_8,28,Category_1,Olympic,F,Category_8,32.955,m,48.185,2.318,27.646,Category_5,0.617
Category_4,26,Category_6,Series,F,Category_6,25.311,m,41.188,6.75,25.541,Category_6,0.604
Category_8,32,Category_1,World Championships,F,Category_3,28.831,m,22.799,5.51,28.27,Category_6,0.739
Category_9,18,Category_3,Youth Olympic,H,Category_6,19.361,m,2.22,6.836,26.402,Category_8,0.69
Category_3,18,Category_6,World Championships,F,Category_7,21.442,m,-20.667,6.222,30.751,Category_3,0.617
Category_3,20,Category_3,Series,H,Category_6,20.572,m,23.097,4.923,25.727,Category_9,0.652
Category_2,27,Category_8,Youth Olympic,F,Category_6,18.158,m,45.041,4.807,28.977,Category_7,0.689
Category_3,25,Category_5,Youth Olympic,H,Category_1,23.556,m,39.368,5.013,31.148,Category_6,0.662
Category_3,32,Category_2,25m,F,Category_3,16.765,m,50.751,3.878,29.435,Category_1,0.692
Category_5,27,Category_4,Olympic,F,Category_7,23.31,m,28.922,3.907,24.873,Category_4,0.612
Category_5,18,Category_9,Junior,F,Category_4,18.36,m,110.515,6.012,24.665,Category_5,0.663
Category_2,19,Category_4,Youth Olympic,F,Category_4,22.072,m,90.612,8.325,27.831,Category_2,0.67
Category_6,30,Category_8,Series,SF,Category_7,26.469,m,-10.945,0.644,26.976,Category_1,0.633
Category_5,18,Category_5,Olympic,F,Category_9,19.871,m,51.341,10.658,27.966,Category_2,0.652
Category_6,19,Category_1,World Cup,H,Category_2,23.649,m,60.287,6.481,29.449,Category_8,0.644
Category_1,33,Category_7,World Championships,SF,Category_9,18.315,m,-28.275,5.848,27.032,Category_6,0.615
Category_5,32,Category_3,Series,SF,Category_3,15.533,m,37.314,2.289,25.47,Category_2,0.637
Category_9,30,Category_8,World Cup,F,Category_6,27.297,m,47.342,3.02,27.294,Category_9,0.673
Category_2,33,Category_3,Series,H,Category_4,23.515,m,32.372,6.281,30.156,Category_8,0.621
Category_1,34,Category_1,World Championships,H,Category_1,19.865,m,43.591,5.393,26.919,Category_4,0.634
Category_9,24,Category_5,25m,SF,Category_9,23.303,m,34.798,1.59,31.536,Category_7,0.588
Category_9,34,Category_2,Series,H,Category_6,16.216,m,52.661,2.65,28.773,Category_3,0.729
Category_9,24,Category_4,Youth Olympic,F,Category_8,22.251,m,76.891,2.951,28.565,Category_6,0.706
Category_6,30,Category_1,Junior,F,Category_2,21.319,m,54.609,2.741,25.652,Category_3,0.718
Category_8,22,Category_9,Youth Olympic,F,Category_7,23.113,m,66.204,5.443,26.568,Category_3,0.681
Category_1,34,Category_6,World Championships,F,Category_6,27.214,m,2.239,2.251,27.981,Category_9,0.678
Category_4,20,Category_8,Series,F,Category_2,26.414,m,90.616,6.694,26.777,Category_6,0.655
Category_1,24,Category_4,Junior,SF,Category_2,14.675,m,41.555,1.114,29.593,Category_8,0.723
Category_8,34,Category_9,Youth Olympic,F,Category_4,12.165,m,21.344,7.18,27.307,Category_4,0.666
Category_1,24,Category_2,Junior,F,Category_4,21.438,m,44.433,12.315,25.555,Category_4,0.577
Category_3,18,Category_9,World Championships,SF,Category_3,21.122,m,16.93,6.694,27.612,Category_8,0.578
Category_4,34,Category_5,25m,SF,Category_8,15.72,m,36.488,3.434,26.141,Category_7,0.681
Category_8,34,Category_6,25m,SF,Category_7,16.446,m,41.16,3.542,28.424,Category_5,0.621
Category_6,28,Category_3,Series,H,Category_2,17.234,m,12.873,2.005,25.813,Category_2,0.669
Category_7,20,Category_4,Youth Olympic,H,Category_3,25.945,m,36.996,7.432,30.985,Category_6,0.698
Category_8,32,Category_6,World Cup,F,Category_9,18.466,m,12.451,5.176,23.704,Category_1,0.627
Category_2,28,Category_7,World Championships,F,Category_5,14.199,m,12.267,0.315,26.243,Category_7,0.651
Category_8,33,Category_1,Youth Olympic,F,Category_2,20.155,m,3.57,1.192,27.373,Category_9,0.653
Category_3,26,Category_7,Youth Olympic,H,Category_3,20.41,m,21.827,0.444,25.923,Category_5,0.626
Category_7,18,Category_1,25m,F,Category_8,16.151,m,16.756,6.653,22.063,Category_5,0.6
Category_3,33,Category_5,Series,F,Category_4,22.864,m,46.109,2.305,31.211,Category_7,0.615
Category_7,26,Category_6,Junior,H,Category_2,25.127,m,63.941,6.83,28.656,Category_5,0.598
Category_2,29,Category_2,World Championships,SF,Category_2,18.951,m,51.501,3.399,24.33,Category_4,0.657
Category_6,26,Category_9,Junior,H,Category_6,14.198,m,60.394,6.728,24.642,Category_1,0.656
Category_3,24,Category_6,Olympic,F,Category_8,19.288,m,57.978,4.14,23.857,Category_6,0.641
Category_3,31,Category_7,Olympic,H,Category_7,21.669,m,5.984,7.115,26.751,Category_9,0.601
Category_9,19,Category_8,World Championships,SF,Category_4,11.492,m,22.962,2.822,30.274,Category_4,0.714
Category_7,26,Category_1,Series,SF,Category_2,22.414,m,83.511,2.964,26.429,Category_4,0.637
Category_5,30,Category_8,World Cup,SF,Category_9,18.87,m,16.929,3.652,26.066,Category_5,0.78
Category_7,32,Category_4,Olympic,SF,Category_4,20.602,m,85.645,6.829,29.175,Category_6,0.703
Category_9,20,Category_8,25m,SF,Category_9,19.223,m,20.58,2.107,27.764,Category_3,0.572
Category_1,28,Category_6,World Cup,SF,Category_5,17.304,m,-26.127,3.353,26.939,Category_9,0.72
Category_7,31,Category_9,Youth Olympic,F,Category_7,19.962,m,25.449,4.158,28.672,Category_1,0.633
Category_6,25,Category_4,Olympic,F,Category_5,18.315,m,56.786,5.758,23.216,Category_6,0.623
Category_9,33,Category_2,25m,H,Category_2,18.942,m,80.189,3.798,28.1,Category_6,0.652
Category_1,19,Category_2,Youth Olympic,F,Category_6,16.778,m,-9.808,6.198,29.872,Category_8,0.715
Category_4,25,Category_5,World Cup,SF,Category_7,22.642,m,56.262,2.931,24.374,Category_5,0.688
Category_9,23,Category_9,World Championships,F,Category_6,25.539,m,58.121,7.212,26.263,Category_9,0.673
Category_4,29,Category_3,Youth Olympic,H,Category_3,16.808,m,69.817,6.639,22.822,Category_9,0.628
Category_3,32,Category_8,Junior,SF,Category_8,19.938,m,-43.994,3.363,26.13,Category_2,0.707
Category_9,25,Category_4,World Championships,F,Category_3,15.89,m,79.999,6.55,25.668,Category_5,0.62
Category_2,21,Category_6,World Championships,F,Category_5,22.027,m,45.164,2.084,30.799,Category_7,0.711
Category_4,32,Category_6,World Cup,H,Category_9,21.349,m,45.673,5.173,26.07,Category_2,0.679
Category_6,34,Category_3,World Cup,SF,Category_5,18.026,m,62.299,2.828,27.722,Category_7,0.638
Category_2,30,Category_5,25m,H,Category_7,20.079,m,-24.904,5.547,30.009,Category_9,0.76
Category_8,19,Category_3,25m,SF,Category_7,24.001,m,61.612,4.356,22.309,Category_8,0.705
Category_8,30,Category_1,Junior,SF,Category_5,13.77,m,100.572,2.904,27.354,Category_9,0.69
Category_1,30,Category_7,World Championships,F,Category_2,15.076,m,-6.678,0.901,24.661,Category_4,0.669
Category_3,32,Category_4,Series,H,Category_5,22.829,m,30.688,4.242,24.713,Category_8,0.613
Category_9,27,Category_7,Junior,H,Category_7,20.647,m,33.606,7.715,25.196,Category_9,0.666
Category_5,20,Category_3,Junior,H,Category_7,20.131,m,42.745,5.475,25.993,Category_2,0.736
Category_6,20,Category_5,Series,SF,Category_4,24.323,m,44.738,0.92,24.818,Category_3,0.603
Category_4,31,Category_5,Series,H,Category_1,23.336,m,13.295,4.199,26.162,Category_1,0.69
Category_2,25,Category_2,Series,SF,Category_6,27.518,m,33.677,7.703,29.173,Category_1,0.727
Category_8,21,Category_2,World Cup,H,Category_3,24.124,m,82.498,4.011,28.121,Category_6,0.729
Category_6,28,Category_4,Junior,H,Category_5,22.596,m,44.169,2.377,32.992,Category_1,0.624
Category_5,28,Category_4,Junior,F,Category_4,20.198,m,43.083,9.081,27.467,Category_5,0.64
Category_9,28,Category_4,Youth Olympic,H,Category_2,19.825,m,12.062,2.111,28.369,Category_6,0.669
Category_1,19,Category_6,Series,F,Category_7,20.408,m,70.898,4.217,29.803,Category_9,0.685
Category_5,34,Category_2,Series,F,Category_5,21.344,m,26.318,3.259,24.479,Category_6,0.722
Category_6,26,Category_6,25m,SF,Category_7,15.428,m,-26.201,6.383,29.753,Category_4,0.655
Category_5,19,Category_7,25m,H,Category_9,21.512,m,44.571,5.961,24.921,Category_1,0.707
Category_6,32,Category_3,World Championships,H,Category_4,19.414,m,52.786,2.568,27.989,Category_6,0.55
Category_6,33,Category_8,25m,H,Category_5,21.899,m,23.972,3.05,29.053,Category_7,0.653
Category_7,21,Category_2,Olympic,F,Category_9,18.031,m,-31.416,5.117,22.807,Category_5,0.707
Category_4,25,Category_8,World Championships,H,Category_4,17.693,m,0.555,5.312,26.153,Category_6,0.702
Category_8,26,Category_5,Series,SF,Category_5,21.376,m,29.235,4.211,26.802,Category_8,0.622
Category_7,22,Category_2,Youth Olympic,SF,Category_5,22.396,m,21.348,4.017,24.508,Category_1,0.71
Category_9,33,Category_7,25m,H,Category_8,17.922,m,45.186,1.746,27.679,Category_8,0.601
Category_7,30,Category_2,Youth Olympic,F,Category_4,25.88,m,49.484,9.334,30.652,Category_2,0.718
Category_3,24,Category_6,25m,SF,Category_4,25.851,m,20.047,6.348,24.834,Category_2,0.655
Category_3,34,Category_3,25m,SF,Category_7,13.874,m,-7.547,4.789,29.54,Category_8,0.644
Category_8,20,Category_9,Youth Olympic,F,Category_5,17.206,m,74.166,7.18,28.023,Category_2,0.651
Category_5,22,Category_3,Junior,SF,Category_6,20.902,m,48.593,4.272,23.993,Category_8,0.681
Category_4,29,Category_3,Junior,F,Category_6,21.955,m,51.768,2.767,26.041,Category_5,0.758
Category_8,24,Category_5,Junior,SF,Category_6,29.244,m,43.538,5.627,27.516,Category_9,0.719
Category_6,26,Category_7,Olympic,F,Category_5,21.004,m,63.973,5.117,30.413,Category_9,0.613
Category_2,23,Category_8,Junior,SF,Category_5,19.939,m,21.615,8.919,28.699,Category_8,0.618
Category_4,34,Category_7,25m,H,Category_9,15.712,m,56.264,2.958,25.453,Category_9,0.579
Category_4,33,Category_9,Series,SF,Category_8,13.861,m,51.685,2.402,27.813,Category_7,0.678
Category_6,20,Category_5,World Cup,SF,Category_4,19.868,m,50.737,9.953,20.834,Category_8,0.657
Category_6,21,Category_3,Youth Olympic,H,Category_7,28.934,m,-1.692,7.694,28.921,Category_6,0.693
Category_1,27,Category_6,Series,H,Category_8,19.545,m,36.519,6.344,25.279,Category_9,0.642
Category_8,22,Category_5,World Cup,H,Category_9,17.224,m,43.622,3.09,24.647,Category_2,0.647
Category_6,27,Category_4,Series,H,Category_5,22.292,m,83.499,5.804,26.264,Category_3,0.599
Category_3,29,Category_2,Olympic,F,Category_3,12.123,m,35.393,1.594,24.233,Category_2,0.714
Category_9,27,Category_7,World Cup,F,Category_4,20.749,m,63.53,3.509,26.521,Category_6,0.637
Category_2,30,Category_5,World Championships,SF,Category_6,23.832,m,-10.053,1.907,29.249,Category_3,0.627
Category_8,28,Category_4,Junior,SF,Category_5,16.5,m,12.005,2.919,22.643,Category_1,0.708
Category_3,33,Category_8,Olympic,SF,Category_9,26.085,m,45.113,1.838,26.793,Category_4,0.598
Category_5,25,Category_9,Series,F,Category_3,23.151,m,44.863,6.489,26.607,Category_5,0.689
Category_6,25,Category_9,25m,SF,Category_2,26.123,m,12.0,9.18,28.083,Category_4,0.63
Category_6,25,Category_3,Junior,SF,Category_6,14.726,m,59.914,7.181,26.545,Category_6,0.659
Category_4,30,Category_3,Junior,F,Category_7,19.673,m,27.734,6.621,29.036,Category_3,0.578
Category_3,19,Category_5,World Cup,SF,Category_5,24.237,m,27.066,3.946,29.937,Category_6,0.69
Category_4,29,Category_5,World Championships,F,Category_1,14.223,m,30.286,5.248,29.212,Category_1,0.756
Category_1,27,Category_2,Junior,F,Category_3,24.34,m,70.883,2.132,25.365,Category_6,0.608
Category_4,29,Category_1,Series,H,Category_3,19.677,m,63.73,1.573,31.194,Category_8,0.716
Category_1,28,Category_8,Series,H,Category_4,24.309,m,86.483,1.194,24.451,Category_8,0.662
Category_1,32,Category_3,Youth Olympic,F,Category_6,21.321,m,48.303,1.767,28.529,Category_1,0.688
Category_6,33,Category_1,Youth Olympic,F,Category_5,26.259,m,87.851,6.468,29.485,Category_7,0.612
Category_5,34,Category_1,Junior,H,Category_1,15.076,m,39.354,6.738,31.513,Category_4,0.618
Category_4,19,Category_2,World Cup,SF,Category_6,21.783,m,28.911,2.553,29.174,Category_6,0.668
Category_3,29,Category_6,World Cup,SF,Category_9,14.167,m,19.981,5.498,25.322,Category_6,0.655
Category_1,34,Category_6,25m,SF,Category_1,22.157,m,27.485,7.589,28.979,Category_5,0.671
Category_6,23,Category_3,Olympic,F,Category_8,21.778,m,28.889,4.4,26.684,Category_9,0.599
Category_2,32,Category_4,Olympic,H,Category_8,19.242,m,12.889,2.942,29.385,Category_8,0.692
Category_8,20,Category_2,Olympic,SF,Category_3,17.178,m,15.612,3.748,27.4,Category_6,0.682
Category_5,23,Category_2,World Championships,H,Category_9,19.075,m,49.938,8.301,30.097,Category_4,0.714
Category_7,20,Category_7,World Cup,H,Category_8,20.825,m,18.549,4.603,27.042,Category_4,0.679
Category_2,18,Category_1,25m,F,Category_3,21.597,m,-16.181,10.038,29.03,Category_9,0.766
Category_8,30,Category_7,Youth Olympic,SF,Category_5,28.417,m,-17.639,3.129,25.632,Category_4,0.754
Category_2,31,Category_1,Series,H,Category_3,24.035,m,-27.555,3.527,29.561,Category_7,0.665
Category_4,30,Category_6,Olympic,F,Category_5,17.993,m,-8.077,1.311,22.296,Category_6,0.663
Category_1,21,Category_3,Youth Olympic,F,Category_9,22.818,m,-1.844,7.417,28.521,Category_2,0.627
Category_5,24,Category_8,Youth Olympic,F,Category_4,24.068,m,4.628,5.007,27.784,Category_5,0.604
Category_9,27,Category_6,Junior,SF,Category_6,17.707,m,40.727,2.556,27.312,Category_3,0.654
Category_1,24,Category_2,World Championships,SF,Category_3,23.326,m,-3.909,3.891,22.254,Category_9,0.636
Category_9,32,Category_8,25m,F,Category_3,14.269,m,6.192,5.971,25.905,Category_1,0.629
Category_8,32,Category_5,World Championships,SF,Category_5,17.556,m,-19.947,2.737,29.611,Category_4,0.68
Category_6,21,Category_8,Junior,SF,Category_8,14.528,m,13.613,5.618,25.146,Category_4,0.594
Category_7,23,Category_8,25m,H,Category_8,19.548,m,53.272,6.991,23.782,Category_9,0.611
Category_3,22,Category_6,25m,F,Category_3,18.461,m,31.863,3.706,24.638,Category_1,0.576
Category_1,29,Category_2,World Cup,F,Category_8,18.779,m,34.882,0.187,29.58,Category_2,0.604
Category_5,18,Category_8,World Championships,SF,Category_8,23.795,m,32.477,4.108,27.985,Category_1,0.637
Category_2,25,Category_6,World Championships,F,Category_3,20.796,m,-4.276,3.533,30.088,Category_1,0.701
Category_5,18,Category_6,World Cup,F,Category_2,23.733,m,20.822,1.705,28.504,Category_1,0.751
Category_8,22,Category_8,Youth Olympic,F,Category_2,27.151,m,38.864,6.221,25.092,Category_3,0.587
Category_9,23,Category_1,Junior,SF,Category_9,29.088,m,60.31,6.316,30.969,Category_4,0.704
Category_2,20,Category_2,World Championships,SF,Category_7,19.843,m,42.95,5.312,25.654,Category_2,0.621
Category_3,32,Category_9,World Cup,SF,Category_6,22.634,m,57.761,3.706,25.181,Category_1,0.672
Category_3,22,Category_8,Series,H,Category_7,19.781,m,1.413,5.107,27.534,Category_5,0.69
Category_1,31,Category_7,25m,F,Category_8,24.618,m,-10.536,3.172,27.89,Category_6,0.727
Category_8,33,Category_7,Olympic,H,Category_1,23.813,m,-17.672,6.462,28.806,Category_2,0.772
Category_6,23,Category_5,Series,SF,Category_8,17.688,m,55.941,3.696,26.244,Category_3,0.711
Category_8,31,Category_2,World Cup,H,Category_3,18.297,m,-8.713,4.153,30.054,Category_3,0.643
Category_9,25,Category_6,Olympic,F,Category_3,26.156,m,62.95,4.358,25.556,Category_2,0.595
Category_5,24,Category_3,Youth Olympic,F,Category_6,18.149,m,19.756,12.827,24.586,Category_4,0.675
Category_3,25,Category_4,Junior,SF,Category_4,19.959,m,80.341,2.261,22.704,Category_5,0.693
Category_5,30,Category_2,Olympic,SF,Category_4,23.214,m,19.68,3.615,26.469,Category_8,0.613
Category_5,23,Category_2,Youth Olympic,H,Category_4,19.736,m,21.251,0.826,28.797,Category_6,0.699
Category_5,19,Category_8,Olympic,SF,Category_9,26.768,m,34.451,5.401,28.535,Category_9,0.645
Category_3,25,Category_8,25m,H,Category_8,24.696,m,20.654,9.041,27.647,Category_3,0.614
Category_4,28,Category_6,25m,F,Category_3,16.763,m,44.51,4.21,25.924,Category_9,0.671
Category_9,18,Category_5,25m,F,Category_1,17.998,m,2.603,3.192,29.671,Category_4,0.624
Category_9,23,Category_8,25m,F,Category_1,22.852,m,37.871,4.625,27.127,Category_8,0.613
Category_2,33,Category_4,World Cup,F,Category_1,20.206,m,11.022,7.325,27.807,Category_7,0.677
Category_8,29,Category_4,25m,F,Category_4,12.392,m,26.644,8.179,24.39,Category_7,0.683
Category_8,28,Category_5,Series,H,Category_6,16.404,m,-6.864,2.194,22.885,Category_9,0.648
Category_7,27,Category_1,25m,F,Category_4,21.39,m,57.523,6.396,28.829,Category_2,0.677
Category_8,20,Category_1,Series,H,Category_3,24.106,m,22.339,4.524,32.442,Category_5,0.716
Category_3,30,Category_2,World Cup,F,Category_8,24.165,m,58.777,8.33,27.916,Category_3,0.702
Category_6,20,Category_8,25m,H,Category_8,28.543,m,11.42,10.431,28.841,Category_7,0.627
Category_1,32,Category_7,Youth Olympic,H,Category_6,17.56,m,32.273,9.261,28.794,Category_3,0.666
Category_7,33,Category_9,Youth Olympic,H,Category_9,17.758,m,59.06,2.344,27.11,Category_5,0.633
Category_1,30,Category_5,World Championships,SF,Category_1,20.316,m,-1.144,2.701,23.56,Category_5,0.602
Category_9,34,Category_2,Youth Olympic,H,Category_8,13.486,m,7.255,8.95,28.552,Category_2,0.693
Category_1,20,Category_7,Junior,H,Category_6,20.408,m,55.755,4.518,30.286,Category_1,0.709
Category_1,28,Category_8,Junior,F,Category_1,19.612,m,71.135,2.878,28.14,Category_6,0.643
Category_7,28,Category_7,Junior,H,Category_4,23.697,m,32.997,1.416,26.503,Category_1,0.675
Category_2,33,Category_7,World Cup,H,Category_5,24.4,m,4.756,5.119,27.925,Category_9,0.734
Category_5,20,Category_5,Youth Olympic,SF,Category_7,21.899,m,23.424,3.759,26.874,Category_5,0.71
Category_8,23,Category_2,Series,F,Category_8,20.433,m,88.962,5.736,29.886,Category_1,0.638
Category_8,31,Category_6,Junior,SF,Category_9,21.927,m,-5.672,5.243,27.504,Category_8,0.661
Category_3,34,Category_4,World Championships,SF,Category_6,17.141,m,47.659,1.779,28.621,Category_1,0.633
Category_7,21,Category_2,World Cup,SF,Category_9,20.079,m,36.129,2.76,29.519,Category_4,0.675
Category_3,32,Category_9,World Championships,H,Category_4,20.491,m,-0.596,7.102,28.632,Category_7,0.666
Category_6,28,Category_7,Youth Olympic,SF,Category_8,20.11,m,23.543,7.32,27.196,Category_4,0.613
Category_6,20,Category_6,25m,SF,Category_3,19.713,m,-19.166,3.859,23.765,Category_5,0.644
Category_3,20,Category_5,World Championships,F,Category_4,17.851,m,40.79,5.208,28.02,Category_7,0.572
Category_7,33,Category_3,25m,F,Category_4,16.177,m,44.938,2.209,29.089,Category_4,0.618
Category_3,22,Category_4,World Cup,F,Category_6,19.573,m,-6.606,4.642,23.561,Category_5,0.683
Category_8,27,Category_3,World Championships,F,Category_9,22.88,m,48.48,7.499,27.975,Category_7,0.671
Category_4,21,Category_8,World Championships,SF,Category_6,13.232,m,13.477,8.886,27.083,Category_1,0.707
Category_1,28,Category_3,Olympic,F,Category_1,18.364,m,10.883,4.465,22.119,Category_3,0.667
Category_4,19,Category_7,World Cup,H,Category_5,28.982,m,4.59,4.0,27.789,Category_1,0.656
Category_7,27,Category_7,World Cup,SF,Category_9,19.623,m,51.488,1.234,30.077,Category_3,0.748
Category_4,28,Category_7,Junior,F,Category_5,21.047,m,-15.421,3.299,27.124,Category_2,0.649
Category_6,33,Category_7,Youth Olympic,SF,Category_6,28.029,m,-13.0,4.606,22.528,Category_5,0.647
Category_9,28,Category_2,World Championships,F,Category_3,21.743,m,15.568,4.345,27.842,Category_5,0.667
Category_1,31,Category_3,World Championships,SF,Category_8,21.837,m,16.559,3.376,29.454,Category_9,0.63
Category_5,19,Category_9,Series,F,Category_4,16.655,m,50.485,7.7,25.2,Category_8,0.676
Category_7,22,Category_3,World Cup,H,Category_4,21.716,m,29.922,5.795,26.536,Category_3,0.632
Category_1,22,Category_2,World Cup,F,Category_5,20.36,m,29.971,4.366,26.253,Category_1,0.645
Category_4,29,Category_9,Youth Olympic,SF,Category_9,24.248,m,-13.873,6.459,27.255,Category_5,0.631
Category_6,21,Category_9,World Cup,SF,Category_8,25.706,m,25.933,4.71,26.185,Category_3,0.585
Category_2,34,Category_4,25m,H,Category_7,20.547,m,-36.45,8.6,29.936,Category_5,0.556
Category_5,27,Category_9,25m,SF,Category_5,22.002,m,39.336,2.815,29.881,Category_9,0.601
Category_1,23,Category_3,Olympic,H,Category_9,12.601,m,51.937,5.583,25.673,Category_1,0.716
Category_6,31,Category_7,25m,SF,Category_9,11.171,m,10.2,-0.464,29.935,Category_1,0.668
Category_6,28,Category_7,25m,SF,Category_2,24.944,m,43.286,3.809,23.395,Category_9,0.643
Category_4,28,Category_8,Youth Olympic,H,Category_4,10.098,m,19.955,5.149,25.222,Category_3,0.618
Category_8,28,Category_4,World Championships,SF,Category_8,21.776,m,67.832,3.983,28.352,Category_5,0.721
Category_4,29,Category_3,25m,SF,Category_1,19.703,m,39.065,2.051,27.185,Category_9,0.636
Category_8,22,Category_3,Olympic,H,Category_5,25.516,m,2.777,3.063,27.31,Category_5,0.627
Category_8,26,Category_5,World Cup,F,Category_8,20.276,m,66.08,2.294,27.82,Category_3,0.58
Category_5,26,Category_1,25m,H,Category_2,27.878,m,56.226,4.48,25.94,Category_9,0.564
Category_4,27,Category_3,Olympic,SF,Category_2,19.577,m,20.725,6.709,29.729,Category_7,0.685
Category_2,18,Category_6,Youth Olympic,F,Category_8,25.164,m,46.729,3.92,28.514,Category_7,0.74
Category_3,24,Category_3,Series,F,Category_9,14.222,m,46.271,9.233,26.776,Category_8,0.678
Category_3,21,Category_5,Series,F,Category_7,10.896,m,20.34,5.338,29.023,Category_5,0.677
Category_4,18,Category_9,Series,H,Category_8,20.304,m,34.414,-0.274,27.998,Category_2,0.745
Category_4,32,Category_2,World Cup,F,Category_5,14.626,m,39.538,5.596,26.475,Category_9,0.687
Category_5,25,Category_2,Olympic,F,Category_1,20.173,m,13.177,4.65,26.381,Category_3,0.664
Category_4,29,Category_6,25m,F,Category_4,18.711,m,71.11,8.169,24.497,Category_2,0.69
Category_8,32,Category_6,World Championships,SF,Category_2,22.925,m,-24.112,4.733,25.669,Category_5,0.705
Category_6,34,Category_8,World Cup,H,Category_3,16.017,m,51.927,4.15,26.6,Category_8,0.687
Category_6,31,Category_2,World Cup,H,Category_3,22.178,m,-2.372,9.883,27.188,Category_3,0.643
Category_8,31,Category_9,Series,SF,Category_9,23.996,m,25.556,-0.415,25.018,Category_6,0.683
Category_7,33,Category_2,World Championships,F,Category_4,19.57,m,-13.254,3.926,27.093,Category_9,0.633
Category_8,18,Category_1,Series,SF,Category_2,22.4,m,-5.256,5.429,25.822,Category_2,0.663
Category_2,28,Category_2,World Cup,SF,Category_3,16.372,m,30.038,3.79,25.449,Category_8,0.682
Category_9,32,Category_7,25m,F,Category_3,18.838,m,34.617,-0.403,28.135,Category_7,0.747
Category_1,29,Category_8,Series,F,Category_7,14.868,m,62.895,5.77,27.381,Category_3,0.684
Category_8,25,Category_5,Series,H,Category_8,30.098,m,21.1,3.646,26.712,Category_1,0.665
Category_4,23,Category_6,Series,F,Category_6,25.506,m,50.192,4.439,28.118,Category_6,0.647
Category_4,20,Category_1,World Cup,SF,Category_4,27.29,m,32.239,7.877,24.205,Category_2,0.638
Category_5,30,Category_6,25m,SF,Category_6,25.446,m,49.09,5.525,24.382,Category_3,0.647
Category_8,30,Category_8,World Championships,F,Category_1,17.677,m,1.25,3.246,26.121,Category_5,0.666
Category_5,19,Category_3,Junior,H,Category_8,14.072,m,35.077,5.744,26.616,Category_8,0.706
Category_8,22,Category_1,World Championships,SF,Category_1,18.666,m,43.225,3.728,28.509,Category_2,0.607
Category_1,34,Category_4,25m,F,Category_5,22.388,m,18.305,4.026,25.472,Category_6,0.699
Category_9,23,Category_1,Youth Olympic,H,Category_2,19.22,m,43.446,6.641,25.518,Category_1,0.639
Category_6,19,Category_8,Series,H,Category_6,11.174,m,46.168,3.193,29.217,Category_7,0.633
Category_3,21,Category_5,World Championships,SF,Category_9,23.512,m,17.698,6.158,24.478,Category_4,0.687
Category_8,28,Category_1,Youth Olympic,SF,Category_5,13.808,m,54.748,4.207,29.058,Category_1,0.648
Category_9,25,Category_8,Youth Olympic,H,Category_4,18.674,m,-33.444,3.523,26.86,Category_9,0.686
Category_6,29,Category_9,25m,H,Category_2,27.636,m,-22.34,3.531,25.144,Category_9,0.682
Category_7,25,Category_2,25m,H,Category_3,20.624,m,2.904,3.261,24.45,Category_3,0.701
Category_1,28,Category_9,Series,F,Category_6,24.876,m,40.593,4.994,26.434,Category_6,0.724
Category_5,25,Category_8,Junior,SF,Category_8,21.856,m,10.904,4.097,28.265,Category_7,0.587
Category_5,25,Category_7,Olympic,H,Category_8,16.247,m,-5.792,8.15,26.812,Category_4,0.674
Category_4,34,Category_3,World Cup,SF,Category_5,23.439,m,29.995,2.588,28.843,Category_6,0.631
Category_6,33,Category_2,World Championships,SF,Category_5,20.16,m,35.408,6.113,28.78,Category_9,0.683
Category_7,31,Category_7,25m,SF,Category_3,14.273,m,14.296,7.592,28.599,Category_6,0.601
Category_9,28,Category_5,World Championships,H,Category_7,13.579,m,-1.401,9.038,28.691,Category_7,0.667
Category_1,24,Category_6,Olympic,F,Category_6,22.007,m,32.736,2.774,25.678,Category_6,0.58
Category_6,33,Category_4,Olympic,H,Category_1,29.281,m,55.307,7.299,28.546,Category_7,0.666
Category_7,30,Category_2,Series,SF,Category_4,15.968,m,-2.254,5.282,31.491,Category_1,0.665
